application_id,applicant_id,applicant_name,applicant_city,application_date,branch_code,application_channel,pan_number,mobile_number,email_address,age_years,monthly_income_inr,employment_type,credit_score,debt_to_income_ratio,existing_loan_count,late_payments_last_12_months,loan_type,loan_amount_inr,tenure_months,defaulted,loss_given_default_inr
LA000001,APP017993,Priya Patel,Kanpur,2023-02-14,BR039,online,XICJZ8894R,7892039122,ramya_shah8@hotmail.com,60,32730.0,salaried_private,786,0.2666,0,0,gold,144000,18,0,
LA000002,APP010725,Aniket Patel,Lucknow,2023-03-31,BR002,partner_referral,IMUJU0398N,9317374677,karthik25@rediffmail.com,32,53850.0,salaried_private,766,0.2989,2,0,gold,166000,18,0,
LA000003,APP012505,Siddharth Chatterjee,Jaipur,2024-07-16,BR032,online,DLAKG5604C,9409296022,varun94@protonmail.com,35,33425.0,salaried_private,552,0.3102,0,6,gold,220000,24,0,
LA000004,APP005046,Aadhya Ramesh,Tirunelveli,2024-09-02,BR009,online,ZCAFJ1404N,8569448549,shreya82@outlook.com,42,51711.0,salaried_government,603,0.4723,0,4,vehicle,1140000,60,0,
LA000005,APP001159,Nikhil Pillai,Ludhiana,2024-08-04,BR037,online,JHJNH9840S,6943221321,bhavana_verma8@hotmail.com,35,65713.0,contract,788,0.4707,0,0,vehicle,1902000,84,0,
LA000006,APP013616,Vivaan Pillai,Indore,2023-05-22,BR019,online,AQWIB9559G,9300075593,bhavana_das5@hotmail.com,37,26947.0,salaried_private,513,0.448,0,6,personal,425000,48,0,
LA000007,APP005443,Arjun Pillai,Nashik,2024-12-16,BR015,direct_sales_agent,SSJFB8693N,6939134262,npillai@rediffmail.com,47,49180.0,salaried_government,734,0.2987,0,0,gold,445000,36,0,
LA000008,APP011918,Nikhil Gowda,Ahmedabad,2025-02-23,BR014,online,YPGWN5121M,12345678,ananya_menon3@outlook.com,34,37676.0,salaried_private,673,0.1839,0,2,vehicle,328000,60,0,
LA000010,APP011263,Praveen Krishnan,Vadodara,2023-11-02,BR030,direct_sales_agent,XQTZK1252Z,9727461624,krathore@rediffmail.com,33,41527.0,salaried_private,589,0.622,0,2,vehicle,1012000,48,0,
LA000011,APP009533,Anjali Bhat,Madurai,2024-05-30,BR029,branch,ECUMA4426V,8432257941,hema_banerjee6@protonmail.com,31,106268.0,salaried_private,655,0.5363,1,2,personal,1499000,36,0,
LA000012,APP024945,Aadhya Sinha,Bengaluru,2024-11-08,BR035,branch,ZQFRN9705A,8428514431,ksharma@gmail.com,36,53626.0,self_employed_professional,822,0.2484,0,0,home,1664000,300,0,
LA000013,APP022878,Divya Chatterjee,Bhopal,2023-01-23,BR038,online,JWVRK1806I,9886490291,mmenon@rediffmail.com,28,24074.0,self_employed_professional,779,0.5407,0,0,home,1704000,360,0,
LA000014,APP009162,Nandini Bhat,Nagpur,2024-08-08,BR036,partner_referral,SXNML6651M,12345678,vaishnavi.pillai@rediffmail.com,30,37227.0,salaried_private,820,0.8363,1,0,vehicle,1098000,48,0,
LA000015,APP020891,Krishna Varma,Indore,2023-07-15,BR040,online,YMMKX7337U,8821094069,vaishnavi_banerjee4@rediffmail.com,38,49501.0,self_employed_business,666,0.3767,1,5,gold,259000,18,0,
LA000016,APP009725,Pooja Kulkarni,Chennai,2024-07-04,BR024,branch,NVQNE8598Y,7632258849,shreya20@yahoo.co.in,31,26700.0,salaried_private,831,0.5987,2,0,home,1500000,300,0,
