application_id,applicant_id,applicant_name,applicant_city,application_date,branch_code,application_channel,pan_number,mobile_number,email_address,age_years,monthly_income_inr,employment_type,credit_score,debt_to_income_ratio,existing_loan_count,late_payments_last_12_months,loan_type,loan_amount_inr,tenure_months,defaulted,loss_given_default_inr,rejection_reason
LA000009,APP017148,Divya Bhat,Mysuru,2025-02-22,BR001,branch,VRVSZ9818S,7573915473,uma_nair4@rediffmail.com,48.0,47012.0,salaried_private,736,0.4765,0.0,1,vehicle,1363000,,0,,missing_required_field
LA000019,APP017063,Vikram Verma,Indore,2023-04-28,BR024,online,NNBDU9966I,8553818341,aarav37@gmail.com,48.0,0.0,salaried_private,818,0.4238,0.0,0,personal,183000,36.0,0,,income_not_positive
LA000140,APP022995,Vivaan Joshi,Rajkot,,BR035,online,WELRW3054V,7789739101,karthik.patel@yahoo.co.in,28.0,56918.0,self_employed_professional,716,0.2211,0.0,2,gold,142000,12.0,0,,unparseable_application_date
LA000147,APP000725,Ishaan Mukherjee,Delhi,2023-10-31,BR008,branch,SZXYG9725A,9259527742,hgupta@gmail.com,32.0,0.0,contract,863,0.5498,1.0,1,personal,300000,36.0,0,,income_not_positive
LA000184,APP005351,Ishaan Prasad,Nashik,2025-04-05,BR011,online,USNXA6784L,7624963657,rohit.gowda@rediffmail.com,46.0,-1.0,salaried_government,890,0.4417,1.0,0,personal,887000,48.0,0,,income_not_positive
LA000198,APP010792,Siddharth Patel,Tirunelveli,2024-13-05,BR040,online,IPCJK9637Q,6727381743,gdeshpande@gmail.com,32.0,63583.0,salaried_private,900,0.4113,2.0,2,gold,407000,24.0,0,,unparseable_application_date
LA000216,APP011940,Lakshmi Chauhan,Jaipur,2024-12-05,BR018,online,DRZBJ1846X,9989239132,sshetty@gmail.com,34.0,40608.0,salaried_private,597,0.1998,,3,gold,245000,36.0,0,,missing_required_field
LA000218,APP018118,Sandeep Menon, Hyderabad,2023-01-11,BR017,branch,KSJHJ0337Q,6549080406,divya.rao@outlook.com,,29270.0,salaried_private,854,0.6387,1.0,0,personal,584000,48.0,0,,missing_required_field
LA000257,APP015251,Harsha Menon,Coimbatore,2023-12-16,BR002,online,ITBSP8365Y,8381194010,sandeep_shetty1@outlook.com,40.0,97604.0,salaried_private,740,0.3396,1.0,0,gold,393000,,0,,missing_required_field
LA000261,APP021547,Praveen Reddy,Ahmedabad,2024-08-21,BR018,partner_referral,XNZPG0595P,8449161883,gayatri_iyer3@outlook.com,43.0,67521.0,self_employed_business,985,0.597,0.0,2,personal,829000,24.0,0,,credit_score_out_of_range
LA000270,APP025355,Manoj Naidu,Pune,2024-02-28,BR031,online,IJLUW6331N,9552118341,fhegde@hotmail.com,39.0,-1.0, SELF_EMPLOYED_PROFESSIONAL ,716,0.5571,1.0,2,personal,1137000,60.0,0,,income_not_positive
LA000281,APP007200,Kavya Mukherjee,Jaipur,2023-02-22,BR040,online,ZUVLL9267V,9793829491,iiyer@yahoo.co.in,27.0,29479.0,salaried_private,757,0.3516,1.0,0,gold,133000,,0,,missing_required_field
LA000299,APP002059,Vinay Chatterjee,Mysuru,2023-10-16,BR017,branch,UXRZF8422E,9455838496,uma.banerjee@hotmail.com,,37884.0,contract,525,0.456,1.0,8,personal,445000,36.0,0,,missing_required_field
LA000316,APP022198,Vikram Nair,Coimbatore,2023-04-13,BR035,online,DUCBK1263G,7071874505,sunita48@outlook.com,,29705.0,self_employed_business,786,0.4848,0.0,0,gold,163000,12.0,0,,missing_required_field
LA000335,APP006791,Krishna Reddy,Ahmedabad,2023-07-14,BR016,partner_referral,EUKIT2710R,6579493116,ekrishnan@protonmail.com,26.0,41405.0,salaried_private,1200,0.4111,1.0,0,home,1500000,300.0,0,,credit_score_out_of_range
LA000341,APP007554,Rohan Mukherjee,Pune,2023-04-12,BR014,online,HSDMK1582L,9842196769,swathi_subramanian7@rediffmail.com,28.0,0.0,salaried_private,900,0.5596,0.0,0,gold,250000,12.0,0,,income_not_positive
LA000351,APP021917,Praveen Bose,Tirunelveli,2024-02-16,BR040,online,KSNPB1731M,6511256974,smehta@hotmail.com,50.0,0.0,self_employed_business,787,0.5212,1.0,0,personal,889000,60.0,0,,income_not_positive
LA000374,APP011511,Ritika Menon,Nashik,2024-01-02,BR038,online,RTVGF0799Y,9435404003,charitha_joshi3@yahoo.co.in,33.0,74327.0,salaried_private,471,0.2348,0.0,10,gold,101000,,0,,missing_required_field
LA000375,APP002345,Gayathri Kulkarni,Kochi,2025-03-01,BR033,partner_referral,ADUBH2402H,7498972409,aditi_ghosh6@protonmail.com,26.0,33343.0,salaried_government,739,0.1363,0.0,0,gold,75000,,0,,missing_required_field
LA000404,APP023673,Nandini Verma,Delhi,2023-09-17,BR010,partner_referral,RMWWB2176Y,6242283738,rghosh@outlook.com,31.0,37491.0,self_employed_professional,694,0.6469,,4,home,2535000,360.0,0,,missing_required_field
LA000407,APP026954,Lakshmi Rao,Lucknow,2024-10-01,BR017,online,SQMGE1356R,8043572874,swathi83@yahoo.co.in,46.0,42480.0,,647,0.6666,1.0,2,home,2902000,360.0,0,,missing_required_field
